county_fips,should_be_2016,state_fips,state_abbv,state_name
04015,0,04,AZ,Arizona
12035,0,12,FL,Florida
20129,0,20,KS,Kansas
28093,0,28,MS,Mississippi
29510,0,29,MO,Missouri
35031,0,35,NM,New Mexico
37187,0,37,NC,North Carolina
38013,0,38,ND,North Dakota
51700,0,51,VA,Virginia
20109,0,20,KS,Kansas
13243,0,13,GA,Georgia
17081,0,17,IL,Illinois
19081,0,19,IA,Iowa
19197,0,19,IA,Iowa
18101,0,18,IN,Indiana
19073,0,19,IA,Iowa
28111,0,28,MS,Mississippi
29185,0,29,MO,Missouri
31151,0,31,NE,Nebraska
38003,0,38,ND,North Dakota
46085,1,46,SD,South Dakota
46129,1,46,SD,South Dakota
48383,0,48,TX,Texas
48497,0,48,TX,Texas
49051,0,49,UT,Utah
53037,0,53,WA,Washington
55035,0,55,WI,Wisconsin
55113,0,55,WI,Wisconsin
20069,0,20,KS,Kansas
17159,0,17,IL,Illinois
27001,0,27,MN,Minnesota
06083,0,06,CA,California
13115,0,13,GA,Georgia
20121,0,20,KS,Kansas
26005,0,26,MI,Michigan
26149,0,26,MI,Michigan
31157,0,31,NE,Nebraska
42049,0,42,PA,Pennsylvania
01045,0,01,AL,Alabama
05123,0,05,AR,Arkansas
12043,0,12,FL,Florida
17117,0,17,IL,Illinois
18081,0,18,IN,Indiana
18009,0,18,IN,Indiana
28137,0,28,MS,Mississippi
29135,0,29,MO,Missouri
31023,0,31,NE,Nebraska
46107,1,46,SD,South Dakota
46087,1,46,SD,South Dakota
48127,0,48,TX,Texas
53001,0,53,WA,Washington
54091,0,54,WV,West Virginia
22061,0,22,LA,Louisiana
19035,0,19,IA,Iowa
19031,0,19,IA,Iowa
48129,0,48,TX,Texas
48461,0,48,TX,Texas
12115,0,12,FL,Florida
17177,0,17,IL,Illinois
27105,0,27,MN,Minnesota
29113,0,29,MO,Missouri
31095,0,31,NE,Nebraska
37185,0,37,NC,North Carolina
39161,0,39,OH,Ohio
48067,0,48,TX,Texas
55101,0,55,WI,Wisconsin
21005,0,21,KY,Kentucky
17141,0,17,IL,Illinois
19181,0,19,IA,Iowa
20205,0,20,KS,Kansas
26025,0,26,MI,Michigan
28115,0,28,MS,Mississippi
31163,0,31,NE,Nebraska
51620,0,51,VA,Virginia
55097,0,55,WI,Wisconsin
18023,0,18,IN,Indiana
19169,0,19,IA,Iowa
27121,0,27,MN,Minnesota
50009,0,50,VT,Vermont
46111,1,46,SD,South Dakota
01111,0,01,AL,Alabama
06091,0,06,CA,California
12033,0,12,FL,Florida
12053,0,12,FL,Florida
20007,0,20,KS,Kansas
04023,0,04,AZ,Arizona
27081,1,27,MN,Minnesota
36021,0,36,NY,New York
37177,0,37,NC,North Carolina
41039,0,41,OR,Oregon
46101,1,46,SD,South Dakota
56027,1,56,WY,Wyoming
01133,0,01,AL,Alabama
20177,0,20,KS,Kansas
13223,0,13,GA,Georgia
18013,0,18,IN,Indiana
18079,0,18,IN,Indiana
19075,0,19,IA,Iowa
26133,0,26,MI,Michigan
29073,0,29,MO,Missouri
31019,0,31,NE,Nebraska
35011,0,35,NM,New Mexico
40111,0,40,OK,Oklahoma
46045,1,46,SD,South Dakota
48019,0,48,TX,Texas
48233,0,48,TX,Texas
48059,0,48,TX,Texas
51600,0,51,VA,Virginia
51595,0,51,VA,Virginia
55135,0,55,WI,Wisconsin
55129,0,55,WI,Wisconsin
28155,0,28,MS,Mississippi
26037,0,26,MI,Michigan
26085,0,26,MI,Michigan
31159,0,31,NE,Nebraska
40077,0,40,OK,Oklahoma
13279,0,13,GA,Georgia
17091,0,17,IL,Illinois
18007,0,18,IN,Indiana
20023,0,20,KS,Kansas
04012,0,04,AZ,Arizona
28003,0,28,MS,Mississippi
30101,0,30,MT,Montana
36087,0,36,NY,New York
48301,0,48,TX,Texas
49037,0,49,UT,Utah
56015,0,56,WY,Wyoming
04007,0,04,AZ,Arizona
08047,0,08,CO,Colorado
17123,0,17,IL,Illinois
18011,0,18,IN,Indiana
18145,0,18,IN,Indiana
20203,0,20,KS,Kansas
19015,0,19,IA,Iowa
27131,0,27,MN,Minnesota
31093,0,31,NE,Nebraska
37025,0,37,NC,North Carolina
38091,0,38,ND,North Dakota
40011,0,40,OK,Oklahoma
48099,0,48,TX,Texas
48065,0,48,TX,Texas
48413,0,48,TX,Texas
05141,0,05,AR,Arkansas
39089,0,39,OH,Ohio
46057,1,46,SD,South Dakota
48145,0,48,TX,Texas
48069,0,48,TX,Texas
51670,0,51,VA,Virginia
29115,0,29,MO,Missouri
31135,0,31,NE,Nebraska
19147,0,19,IA,Iowa
08017,0,08,CO,Colorado
01075,0,01,AL,Alabama
22019,0,22,LA,Louisiana
27091,0,27,MN,Minnesota
27137,0,27,MN,Minnesota
37129,0,37,NC,North Carolina
38019,0,38,ND,North Dakota
41065,0,41,OR,Oregon
47027,0,47,TN,Tennessee
01085,0,01,AL,Alabama
06069,0,06,CA,California
06061,0,06,CA,California
13113,0,13,GA,Georgia
19033,0,19,IA,Iowa
20133,0,20,KS,Kansas
20009,0,20,KS,Kansas
19047,0,19,IA,Iowa
26165,0,26,MI,Michigan
26113,0,26,MI,Michigan
29001,0,29,MO,Missouri
38065,0,38,ND,North Dakota
39067,0,39,OH,Ohio
48249,0,48,TX,Texas
48143,0,48,TX,Texas
55133,0,55,WI,Wisconsin
55027,0,55,WI,Wisconsin
18033,0,18,IN,Indiana
26049,0,26,MI,Michigan
20093,0,20,KS,Kansas
41023,0,41,OR,Oregon
13213,0,13,GA,Georgia
21029,0,21,KY,Kentucky
28153,0,28,MS,Mississippi
31133,0,31,NE,Nebraska
36101,0,36,NY,New York
40147,0,40,OK,Oklahoma
41055,0,41,OR,Oregon
49001,0,49,UT,Utah
05043,0,05,AR,Arkansas
06019,0,06,CA,California
13219,0,13,GA,Georgia
17155,0,17,IL,Illinois
19069,0,19,IA,Iowa
19113,0,19,IA,Iowa
21215,0,21,KY,Kentucky
27147,0,27,MN,Minnesota
28101,0,28,MS,Mississippi
30007,0,30,MT,Montana
31075,0,31,NE,Nebraska
36123,0,36,NY,New York
39027,0,39,OH,Ohio
46049,1,46,SD,South Dakota
46035,1,46,SD,South Dakota
46037,1,46,SD,South Dakota
48179,0,48,TX,Texas
55099,0,55,WI,Wisconsin
16085,0,16,ID,Idaho
31117,0,31,NE,Nebraska
51510,0,51,VA,Virginia
46077,1,46,SD,South Dakota
09013,0,09,CT,Connecticut
13285,0,13,GA,Georgia
20013,0,20,KS,Kansas
22123,0,22,LA,Louisiana
29011,0,29,MO,Missouri
39037,0,39,OH,Ohio
46063,1,46,SD,South Dakota
55075,0,55,WI,Wisconsin
56045,1,56,WY,Wyoming
12097,0,12,FL,Florida
17053,0,17,IL,Illinois
18017,0,18,IN,Indiana
20029,0,20,KS,Kansas
20167,0,20,KS,Kansas
38043,0,38,ND,North Dakota
29075,0,29,MO,Missouri
31101,0,31,NE,Nebraska
31167,0,31,NE,Nebraska
46043,1,46,SD,South Dakota
48329,0,48,TX,Texas
48085,0,48,TX,Texas
48045,0,48,TX,Texas
48153,0,48,TX,Texas
51680,0,51,VA,Virginia
55139,0,55,WI,Wisconsin
21129,0,21,KY,Kentucky
17049,0,17,IL,Illinois
18073,0,18,IN,Indiana
18041,0,18,IN,Indiana
26073,0,26,MI,Michigan
31175,0,31,NE,Nebraska
20015,0,20,KS,Kansas
37079,0,37,NC,North Carolina
38075,0,38,ND,North Dakota
17115,0,17,IL,Illinois
19175,0,19,IA,Iowa
19191,0,19,IA,Iowa
17147,0,17,IL,Illinois
19003,0,19,IA,Iowa
17165,0,17,IL,Illinois
46065,1,46,SD,South Dakota
19019,0,19,IA,Iowa
19023,0,19,IA,Iowa
20061,0,20,KS,Kansas
19037,0,19,IA,Iowa
20155,0,20,KS,Kansas
20017,0,20,KS,Kansas
48095,0,48,TX,Texas
48101,0,48,TX,Texas
48107,0,48,TX,Texas
19063,0,19,IA,Iowa
19067,0,19,IA,Iowa
19077,0,19,IA,Iowa
19189,0,19,IA,Iowa
21171,0,21,KY,Kentucky
55061,0,55,WI,Wisconsin
19103,0,19,IA,Iowa
19123,0,19,IA,Iowa
18099,0,18,IN,Indiana
18131,0,18,IN,Indiana
18127,0,18,IN,Indiana
37135,0,37,NC,North Carolina
21061,0,21,KY,Kentucky
16059,0,16,ID,Idaho
22017,0,22,LA,Louisiana
35057,0,35,NM,New Mexico
37063,0,37,NC,North Carolina
56031,0,56,WY,Wyoming
51037,0,51,VA,Virginia
55033,0,55,WI,Wisconsin
45087,0,45,SC,South Carolina
56029,0,56,WY,Wyoming
27099,0,27,MN,Minnesota
30069,0,30,MT,Montana
51099,0,51,VA,Virginia
48055,0,48,TX,Texas
41013,0,41,OR,Oregon
29043,0,29,MO,Missouri
30017,0,30,MT,Montana
01057,0,01,AL,Alabama
41033,0,41,OR,Oregon
18021,0,18,IN,Indiana
31169,0,31,NE,Nebraska
51135,0,51,VA,Virginia
20057,0,20,KS,Kansas
17145,0,17,IL,Illinois
20135,0,20,KS,Kansas
16063,0,16,ID,Idaho
29077,0,29,MO,Missouri
31091,0,31,NE,Nebraska
17093,0,17,IL,Illinois
18161,0,18,IN,Indiana
29221,0,29,MO,Missouri
42083,0,42,PA,Pennsylvania
26039,0,26,MI,Michigan
22055,0,22,LA,Louisiana
51683,0,51,VA,Virginia
26143,0,26,MI,Michigan
39019,0,39,OH,Ohio
38017,0,38,ND,North Dakota
55047,0,55,WI,Wisconsin
39021,0,39,OH,Ohio
31123,0,31,NE,Nebraska
05023,0,05,AR,Arkansas
29137,0,29,MO,Missouri
39065,0,39,OH,Ohio
33007,0,33,NH,New Hampshire
27085,0,27,MN,Minnesota
33009,0,33,NH,New Hampshire
29145,0,29,MO,Missouri
48163,0,48,TX,Texas
29229,0,29,MO,Missouri
48269,0,48,TX,Texas
48271,0,48,TX,Texas
18141,0,18,IN,Indiana
17095,0,17,IL,Illinois
39103,0,39,OH,Ohio
01061,0,01,AL,Alabama
17105,0,17,IL,Illinois
17109,0,17,IL,Illinois
48283,0,48,TX,Texas
19065,0,19,IA,Iowa
12085,0,12,FL,Florida
17121,0,17,IL,Illinois
19121,0,19,IA,Iowa
06105,0,06,CA,California
17203,0,17,IL,Illinois
39165,0,39,OH,Ohio
12011,0,12,FL,Florida
48463,0,48,TX,Texas
39033,0,39,OH,Ohio
39047,0,39,OH,Ohio
48483,0,48,TX,Texas
39077,0,39,OH,Ohio
48501,0,48,TX,Texas
13165,0,13,GA,Georgia
48011,0,48,TX,Texas
39041,0,39,OH,Ohio
40043,0,40,OK,Oklahoma
48285,0,48,TX,Texas
20077,0,20,KS,Kansas
27093,0,27,MN,Minnesota
48297,0,48,TX,Texas
48219,0,48,TX,Texas
39003,0,39,OH,Ohio
27059,0,27,MN,Minnesota
27143,0,27,MN,Minnesota
29147,0,29,MO,Missouri
48425,0,48,TX,Texas
29039,0,29,MO,Missouri
30049,0,30,MT,Montana
29159,0,29,MO,Missouri
48279,0,48,TX,Texas
32029,0,32,NV,Nevada
13173,0,13,GA,Georgia
19131,0,19,IA,Iowa
29139,0,29,MO,Missouri
17135,0,17,IL,Illinois
13155,0,13,GA,Georgia
47051,0,47,TN,Tennessee
38027,0,38,ND,North Dakota
38087,0,38,ND,North Dakota
48363,0,48,TX,Texas
13307,0,13,GA,Georgia
06071,0,06,CA,California
13085,0,13,GA,Georgia
55073,0,55,WI,Wisconsin
55081,0,55,WI,Wisconsin
39093,0,39,OH,Ohio
42075,0,42,PA,Pennsylvania
39133,0,39,OH,Ohio
46119,1,46,SD,South Dakota
47081,0,47,TN,Tennessee
51630,0,51,VA,Virginia
31179,0,31,NE,Nebraska
42113,0,42,PA,Pennsylvania
26109,0,26,MI,Michigan
37191,0,37,NC,North Carolina
05053,0,05,AR,Arkansas
38103,0,38,ND,North Dakota
48189,0,48,TX,Texas
31069,0,31,NE,Nebraska
29209,0,29,MO,Missouri
48193,0,48,TX,Texas
29175,0,29,MO,Missouri
48199,0,48,TX,Texas
37077,0,37,NC,North Carolina
29177,0,29,MO,Missouri
51610,0,51,VA,Virginia
05097,0,05,AR,Arkansas
29205,0,29,MO,Missouri
51730,0,51,VA,Virginia
19001,0,19,IA,Iowa
06053,0,06,CA,California
12027,0,12,FL,Florida
17011,0,17,IL,Illinois
39173,0,39,OH,Ohio
20079,0,20,KS,Kansas
20111,0,20,KS,Kansas
19183,0,19,IA,Iowa
26067,0,26,MI,Michigan
48123,0,48,TX,Texas
48125,0,48,TX,Texas
26077,0,26,MI,Michigan
21161,0,21,KY,Kentucky
27067,0,27,MN,Minnesota
51025,0,51,VA,Virginia
37093,0,37,NC,North Carolina
26123,0,26,MI,Michigan
26139,0,26,MI,Michigan
26159,0,26,MI,Michigan
17039,0,17,IL,Illinois
17055,0,17,IL,Illinois
17065,0,17,IL,Illinois
37035,0,37,NC,North Carolina
27041,0,27,MN,Minnesota
40073,0,40,OK,Oklahoma
41001,0,41,OR,Oregon
48149,0,48,TX,Texas
40093,0,40,OK,Oklahoma
48003,0,48,TX,Texas
46025,1,46,SD,South Dakota
46039,1,46,SD,South Dakota
46067,1,46,SD,South Dakota
47039,0,47,TN,Tennessee
48023,0,48,TX,Texas
47071,0,47,TN,Tennessee
46061,1,46,SD,South Dakota
46097,1,46,SD,South Dakota
46073,1,46,SD,South Dakota
54001,0,54,WV,West Virginia
17063,0,17,IL,Illinois
47101,0,47,TN,Tennessee
55069,0,55,WI,Wisconsin
48255,0,48,TX,Texas
31037,0,31,NE,Nebraska
31003,0,31,NE,Nebraska
29007,0,29,MO,Missouri
48237,0,48,TX,Texas
19029,0,19,IA,Iowa
48135,0,48,TX,Texas
48209,0,48,TX,Texas
48293,0,48,TX,Texas
48021,0,48,TX,Texas
13003,0,13,GA,Georgia
13277,0,13,GA,Georgia
13101,0,13,GA,Georgia
30073,0,30,MT,Montana
55127,0,55,WI,Wisconsin
48309,0,48,TX,Texas
19083,0,19,IA,Iowa
16037,0,16,ID,Idaho
19089,0,19,IA,Iowa
19093,0,19,IA,Iowa
08095,0,08,CO,Colorado
39127,0,39,OH,Ohio
19101,0,19,IA,Iowa
08105,0,08,CO,Colorado
19137,0,19,IA,Iowa
17175,0,17,IL,Illinois
39139,0,39,OH,Ohio
17179,0,17,IL,Illinois
08039,0,08,CO,Colorado
39147,0,39,OH,Ohio
39149,0,39,OH,Ohio
29083,0,29,MO,Missouri
40031,0,40,OK,Oklahoma
29065,0,29,MO,Missouri
48327,0,48,TX,Texas
48353,0,48,TX,Texas
08041,0,08,CO,Colorado
08061,0,08,CO,Colorado
48253,0,48,TX,Texas
48319,0,48,TX,Texas
48441,0,48,TX,Texas
41015,0,41,OR,Oregon
48263,0,48,TX,Texas
30089,0,30,MT,Montana
48433,0,48,TX,Texas
48207,0,48,TX,Texas
20019,0,20,KS,Kansas
48379,0,48,TX,Texas
48459,0,48,TX,Texas
48343,0,48,TX,Texas
31071,0,31,NE,Nebraska
48231,0,48,TX,Texas
36033,0,36,NY,New York
36093,0,36,NY,New York
48471,0,48,TX,Texas
36035,0,36,NY,New York
54009,0,54,WV,West Virginia
54069,0,54,WV,West Virginia
42059,0,42,PA,Pennsylvania
01127,0,01,AL,Alabama
28053,0,28,MS,Mississippi
28097,0,28,MS,Mississippi
51750,0,51,VA,Virginia
54049,0,54,WV,West Virginia
54047,0,54,WV,West Virginia
39039,0,39,OH,Ohio
28105,0,28,MS,Mississippi
29049,0,29,MO,Missouri
54101,0,54,WV,West Virginia
53033,0,53,WA,Washington
28123,0,28,MS,Mississippi
26079,0,26,MI,Michigan
05111,0,05,AR,Arkansas
53007,0,53,WA,Washington
12091,0,12,FL,Florida
12117,0,12,FL,Florida
28013,0,28,MS,Mississippi
28023,0,28,MS,Mississippi
46089,1,46,SD,South Dakota
28085,0,28,MS,Mississippi
54067,0,54,WV,West Virginia
54075,0,54,WV,West Virginia
27111,0,27,MN,Minnesota
01007,0,01,AL,Alabama
28069,0,28,MS,Mississippi
40083,0,40,OK,Oklahoma
48291,0,48,TX,Texas
13235,0,13,GA,Georgia
17079,0,17,IL,Illinois
27119,0,27,MN,Minnesota
48317,0,48,TX,Texas
26035,0,26,MI,Michigan
26051,0,26,MI,Michigan
37145,0,37,NC,North Carolina
17187,0,17,IL,Illinois
13079,0,13,GA,Georgia
13021,0,13,GA,Georgia
56043,0,56,WY,Wyoming
26129,0,26,MI,Michigan
47047,0,47,TN,Tennessee
20165,0,20,KS,Kansas
38009,0,38,ND,North Dakota
38011,1,38,ND,North Dakota
38041,0,38,ND,North Dakota
18169,0,18,IN,Indiana
20085,0,20,KS,Kansas
19171,0,19,IA,Iowa
06103,0,06,CA,California
18097,0,18,IN,Indiana
18107,0,18,IN,Indiana
18159,0,18,IN,Indiana
51770,0,51,VA,Virginia
19173,0,19,IA,Iowa
27043,0,27,MN,Minnesota
05135,0,05,AR,Arkansas
19017,0,19,IA,Iowa
48429,0,48,TX,Texas
55119,0,55,WI,Wisconsin
20083,0,20,KS,Kansas
18177,0,18,IN,Indiana
26099,0,26,MI,Michigan
30075,0,30,MT,Montana
50003,0,50,VT,Vermont
13209,0,13,GA,Georgia
19021,0,19,IA,Iowa
29103,0,29,MO,Missouri
38045,0,38,ND,North Dakota
41043,0,41,OR,Oregon
48303,0,48,TX,Texas
13083,0,13,GA,Georgia
31059,0,31,NE,Nebraska
48165,0,48,TX,Texas
23029,0,23,ME,Maine
28071,0,28,MS,Mississippi
31137,0,31,NE,Nebraska
48415,0,48,TX,Texas
40129,0,40,OK,Oklahoma
05119,0,05,AR,Arkansas
39163,0,39,OH,Ohio
20143,0,20,KS,Kansas
19041,0,19,IA,Iowa
55019,0,55,WI,Wisconsin
19049,0,19,IA,Iowa
19143,0,19,IA,Iowa
51036,0,51,VA,Virginia
12013,0,12,FL,Florida
20113,0,20,KS,Kansas
31001,0,31,NE,Nebraska
55077,0,55,WI,Wisconsin
08057,0,08,CO,Colorado
28009,0,28,MS,Mississippi
53053,0,53,WA,Washington
05099,0,05,AR,Arkansas
17073,0,17,IL,Illinois
48195,0,48,TX,Texas
56007,0,56,WY,Wyoming
13089,0,13,GA,Georgia
18117,0,18,IN,Indiana
29121,0,29,MO,Missouri
48417,0,48,TX,Texas
27165,0,27,MN,Minnesota
19165,0,19,IA,Iowa
47075,0,47,TN,Tennessee
20073,0,20,KS,Kansas
47129,0,47,TN,Tennessee
20059,0,20,KS,Kansas
06017,0,06,CA,California
27117,1,27,MN,Minnesota
29055,0,29,MO,Missouri
18063,0,18,IN,Indiana
48247,0,48,TX,Texas
17025,0,17,IL,Illinois
31085,0,31,NE,Nebraska
31139,0,31,NE,Nebraska
39069,0,39,OH,Ohio
39083,0,39,OH,Ohio
06057,0,06,CA,California
06031,0,06,CA,California
16049,0,16,ID,Idaho
20101,0,20,KS,Kansas
38079,0,38,ND,North Dakota
20171,0,20,KS,Kansas
20179,0,20,KS,Kansas
55025,0,55,WI,Wisconsin
22027,0,22,LA,Louisiana
29015,0,29,MO,Missouri
36049,0,36,NY,New York
48031,0,48,TX,Texas
29035,0,29,MO,Missouri
51830,0,51,VA,Virginia
51650,0,51,VA,Virginia
48115,0,48,TX,Texas
30029,0,30,MT,Montana
51735,0,51,VA,Virginia
48033,0,48,TX,Texas
20189,0,20,KS,Kansas
30053,0,30,MT,Montana
36003,0,36,NY,New York
13125,0,13,GA,Georgia
22059,0,22,LA,Louisiana
46017,1,46,SD,South Dakota
48251,0,48,TX,Texas
17087,0,17,IL,Illinois
48311,0,48,TX,Texas
20099,0,20,KS,Kansas
13067,0,13,GA,Georgia
28133,0,28,MS,Mississippi
28127,0,28,MS,Mississippi
51840,0,51,VA,Virginia
55015,0,55,WI,Wisconsin
18043,0,18,IN,Indiana
27133,1,27,MN,Minnesota
51710,0,51,VA,Virginia
21173,0,21,KY,Kentucky
27149,0,27,MN,Minnesota
31109,0,31,NE,Nebraska
51720,0,51,VA,Virginia
55137,0,55,WI,Wisconsin
27161,0,27,MN,Minnesota
19185,0,19,IA,Iowa
01079,0,01,AL,Alabama
13201,0,13,GA,Georgia
19055,0,19,IA,Iowa
27101,0,27,MN,Minnesota
48133,0,48,TX,Texas
48507,0,48,TX,Texas
48375,0,48,TX,Texas
26111,0,26,MI,Michigan
21147,0,21,KY,Kentucky
13171,0,13,GA,Georgia
17111,0,17,IL,Illinois
18085,0,18,IN,Indiana
05031,0,05,AR,Arkansas
48013,0,48,TX,Texas
08121,0,08,CO,Colorado
13227,0,13,GA,Georgia
55117,0,55,WI,Wisconsin
38031,0,38,ND,North Dakota
04005,0,04,AZ,Arizona
18171,0,18,IN,Indiana
55131,0,55,WI,Wisconsin
29141,0,29,MO,Missouri
29161,0,29,MO,Missouri
05079,0,05,AR,Arkansas
18049,0,18,IN,Indiana
20035,0,20,KS,Kansas
27065,0,27,MN,Minnesota
17051,0,17,IL,Illinois
46003,1,46,SD,South Dakota
42023,0,42,PA,Pennsylvania
46099,1,46,SD,South Dakota
51540,0,51,VA,Virginia
08045,0,08,CO,Colorado
19051,0,19,IA,Iowa
17191,0,17,IL,Illinois
39159,0,39,OH,Ohio
13265,0,13,GA,Georgia
06079,0,06,CA,California
48437,0,48,TX,Texas
28015,0,28,MS,Mississippi
42019,0,42,PA,Pennsylvania
48049,0,48,TX,Texas
48435,0,48,TX,Texas
32027,0,32,NV,Nevada
20127,0,20,KS,Kansas
48381,0,48,TX,Texas
19157,0,19,IA,Iowa
08101,0,08,CO,Colorado
48173,0,48,TX,Texas
48159,0,48,TX,Texas
36057,0,36,NY,New York
29025,0,29,MO,Missouri
54033,0,54,WV,West Virginia
12131,0,12,FL,Florida
17171,0,17,IL,Illinois
19009,0,19,IA,Iowa
18057,0,18,IN,Indiana
38047,0,38,ND,North Dakota
20027,0,20,KS,Kansas
16061,0,16,ID,Idaho
20123,0,20,KS,Kansas
27135,0,27,MN,Minnesota
36109,0,36,NY,New York
19039,0,19,IA,Iowa
19091,0,19,IA,Iowa
29079,0,29,MO,Missouri
20173,0,20,KS,Kansas
29009,0,29,MO,Missouri
48243,0,48,TX,Texas
29105,0,29,MO,Missouri
26095,0,26,MI,Michigan
21227,0,21,KY,Kentucky
18071,0,18,IN,Indiana
38073,0,38,ND,North Dakota
31165,1,31,NE,Nebraska
48075,0,48,TX,Texas
13075,0,13,GA,Georgia
29061,0,29,MO,Missouri
46005,1,46,SD,South Dakota
28031,0,28,MS,Mississippi
19059,0,19,IA,Iowa
21209,0,21,KY,Kentucky
19013,0,19,IA,Iowa
38049,0,38,ND,North Dakota
26057,0,26,MI,Michigan
40039,0,40,OK,Oklahoma
47109,0,47,TN,Tennessee
13255,0,13,GA,Georgia
31097,0,31,NE,Nebraska
48081,0,48,TX,Texas
50015,0,50,VT,Vermont
48009,0,48,TX,Texas
23009,0,23,ME,Maine
39125,0,39,OH,Ohio
22003,0,22,LA,Louisiana
47077,0,47,TN,Tennessee
20175,0,20,KS,Kansas
20089,0,20,KS,Kansas
41021,0,41,OR,Oregon
48087,0,48,TX,Texas
17021,0,17,IL,Illinois
29057,0,29,MO,Missouri
48399,0,48,TX,Texas
28139,0,28,MS,Mississippi
20053,0,20,KS,Kansas
31067,0,31,NE,Nebraska
36073,0,36,NY,New York
13135,0,13,GA,Georgia
29169,0,29,MO,Missouri
40047,0,40,OK,Oklahoma
20139,0,20,KS,Kansas
17007,0,17,IL,Illinois
12105,0,12,FL,Florida
21155,0,21,KY,Kentucky
20067,0,20,KS,Kansas
48191,0,48,TX,Texas
48035,0,48,TX,Texas
31183,0,31,NE,Nebraska
51550,0,51,VA,Virginia
21001,0,21,KY,Kentucky
28103,0,28,MS,Mississippi
39119,0,39,OH,Ohio
05039,0,05,AR,Arkansas
39109,0,39,OH,Ohio
19151,0,19,IA,Iowa
26001,0,26,MI,Michigan
42117,0,42,PA,Pennsylvania
28131,0,28,MS,Mississippi
47149,0,47,TN,Tennessee
55055,0,55,WI,Wisconsin
26015,0,26,MI,Michigan
31005,0,31,NE,Nebraska
29101,0,29,MO,Missouri
26045,0,26,MI,Michigan
27031,0,27,MN,Minnesota
55107,0,55,WI,Wisconsin
